Id. de pedido,Producto,Precio por unidad,Cantidad,Descuento
10264,Cerveza tibetana Barley,15.20 €,35,0.00%
10264,Crema de almejas estilo Nueva Inglaterra,7.70 €,25,15.00%
10265,Cordero Alice Springs,31.20 €,30,0.00%
10265,Cerveza Outback,12.00 €,20,0.00%
10266,Queso Manchego La Pastora,30.40 €,12,5.00%
10267,Carne de cangrejo de Boston,14.70 €,50,0.00%
10267,Raclet de queso Courdavault,44.00 €,70,15.00%
10267,Licor Cloudberry,14.40 €,15,15.00%
10268,Salchicha Thüringer,99.00 €,10,0.00%
10268,Queso Mozzarella Giovanni,27.80 €,4,0.00%
10269,Queso de cabra,2.00 €,60,5.00%
10269,Queso Mozzarella Giovanni,27.80 €,20,5.00%
10270,Escabeche de arenque,15.20 €,30,0.00%
10270,Café de Malasia,36.80 €,25,0.00%
10271,Queso de cabra,2.00 €,24,0.00%
10272,Mermelada de Sir Rodney's,64.80 €,6,0.00%
10272,Queso gorgonzola Telino,10.00 €,40,0.00%
10272,Queso Mozzarella Giovanni,27.80 €,24,0.00%
10273,Pez espada,24.80 €,24,5.00%
10273,Queso gorgonzola Telino,10.00 €,15,5.00%
10273,Queso de cabra,2.00 €,20,0.00%
10273,Carne de cangrejo de Boston,14.70 €,60,5.00%
10273,Licor Cloudberry,14.40 €,33,5.00%
10274,Crema de queso Fløtemys,17.20 €,20,0.00%
10274,Queso Mozzarella Giovanni,27.80 €,7,0.00%
10275,Refresco Guaraná Fantástica,3.60 €,12,5.00%
10275,Raclet de queso Courdavault,44.00 €,6,5.00%
10276,Pez espada,24.80 €,15,0.00%
10276,Algas Konbu,4.80 €,10,0.00%
10277,Col fermentada Rössle,36.40 €,20,0.00%
10277,Tarta de azúcar,39.40 €,12,0.00%
10278,Azúcar negra Malacca,15.50 €,16,0.00%
10278,Raclet de queso Courdavault,44.00 €,15,0.00%
10278,Sandwich de vegetales,35.10 €,8,0.00%
10278,Caviar rojo,12.00 €,25,0.00%
10279,Cordero Alice Springs,31.20 €,15,25.00%
10280,Refresco Guaraná Fantástica,3.60 €,12,0.00%
10280,Paté chino,19.20 €,20,0.00%
10280,Cerveza Klosterbier Rhönbräu,6.20 €,30,0.00%
10281,Pastas de té de chocolate,7.30 €,1,0.00%
10281,Refresco Guaraná Fantástica,3.60 €,6,0.00%
10281,Cerveza negra Steeleye,14.40 €,4,0.00%
10282,Arenque blanco del noroeste,20.70 €,6,0.00%
10282,Raviolis Angelo,15.60 €,2,0.00%
10283,Salsa de soja baja en sodio,12.40 €,20,0.00%
10283,Pastas de té de chocolate,7.30 €,18,0.00%
10283,Camembert Pierrot,27.20 €,35,0.00%
10283,Queso Mozzarella Giovanni,27.80 €,3,0.00%
10284,Chocolate Schoggi,35.10 €,15,25.00%
10284,Azúcar negra Malacca,15.50 €,21,0.00%
10284,Camembert Pierrot,27.20 €,20,25.00%
10284,Cerveza Laughing Lumberjack,11.20 €,5,25.00%
10285,Té Dharamsala,14.40 €,45,20.00%
10285,Carne de cangrejo de Boston,14.70 €,40,20.00%
10285,Empanada de carne,26.20 €,36,20.00%
10286,Cerveza negra Steeleye,14.40 €,100,0.00%
10286,Tarta de azúcar,39.40 €,40,0.00%
10287,Postre de merengue Pavlova,13.90 €,40,15.00%
10287,Cerveza Sasquatch,11.20 €,20,0.00%
10287,Arenque salado,9.60 €,15,15.00%
10288,Empanada de cerdo,5.90 €,10,10.00%
10288,Barras de pan de Escocia,10.00 €,3,10.00%
10289,Sirope de regaliz,8.00 €,30,0.00%
10289,Bollos de pan de Wimmer,26.60 €,9,0.00%
10290,Mezcla Gumbo del chef Anton,17.00 €,20,0.00%
10290,Salchicha Thüringer,99.00 €,15,0.00%
10290,Regaliz,16.00 €,15,0.00%
10290,Salsa verde original Frankfurter,10.40 €,10,0.00%
10291,Algas Konbu,4.80 €,20,10.00%
10291,Azúcar negra Malacca,15.50 €,24,10.00%
10291,Manzanas secas Manjimup,42.40 €,2,10.00%
10292,Mermelada de Sir Rodney's,64.80 €,20,0.00%
10293,Langostinos tigre Carnarvon,50.00 €,12,0.00%
10293,Refresco Guaraná Fantástica,3.60 €,10,0.00%
10293,Sandwich de vegetales,35.10 €,5,0.00%
10293,Cerveza Klosterbier Rhönbräu,6.20 €,6,0.00%
10294,Té Dharamsala,14.40 €,18,0.00%
10294,Cordero Alice Springs,31.20 €,15,0.00%
10294,Café de Malasia,36.80 €,15,0.00%
10294,Camembert Pierrot,27.20 €,21,0.00%
10294,Cerveza Klosterbier Rhönbräu,6.20 €,6,0.00%
10295,Gnocchi de la abuela Alicia,30.40 €,4,0.00%
10296,Queso Cabrales,16.80 €,12,0.00%
10296,Postre de merengue Pavlova,13.90 €,30,0.00%
10296,Queso Gudbrandsdals,28.80 €,15,0.00%
10297,Licor verde Chartreuse,14.40 €,60,0.00%
10297,Queso Mozzarella Giovanni,27.80 €,20,0.00%
10298,Cerveza tibetana Barley,15.20 €,40,0.00%
10298,Escabeche de arenque,15.20 €,40,25.00%
10298,Raclet de queso Courdavault,44.00 €,30,25.00%
10298,Tarta de azúcar,39.40 €,15,0.00%
10299,Pastas de té de chocolate,7.30 €,15,0.00%
10299,Cerveza Outback,12.00 €,20,0.00%
10300,Especias picantes de Luisiana,13.60 €,30,0.00%
10300,Barras de pan de Escocia,10.00 €,20,0.00%
10301,Carne de cangrejo de Boston,14.70 €,10,0.00%
10301,Gnocchi de la abuela Alicia,30.40 €,20,0.00%
10302,Cordero Alice Springs,31.20 €,40,0.00%
10302,Col fermentada Rössle,36.40 €,28,0.00%
10302,Café de Malasia,36.80 €,12,0.00%
10303,Carne de cangrejo de Boston,14.70 €,40,10.00%
10303,Salsa de pimiento picante de Luisiana,16.80 €,30,10.00%
10303,Barras de pan de Escocia,10.00 €,15,10.00%
10304,Regaliz,16.00 €,30,0.00%
10304,Raclet de queso Courdavault,44.00 €,10,0.00%
10304,Crema de queso Fløtemys,17.20 €,2,0.00%
10305,Langostinos tigre Carnarvon,50.00 €,25,10.00%
10305,Salchicha Thüringer,99.00 €,25,10.00%
10305,Licor verde Chartreuse,14.40 €,30,10.00%
10306,Arenque blanco del noroeste,20.70 €,10,0.00%
10306,Empanada de carne,26.20 €,10,0.00%
10306,Empanada de cerdo,5.90 €,5,0.00%
10307,Tarta de azúcar,39.40 €,10,0.00%
10307,Barras de pan de Escocia,10.00 €,3,0.00%
10308,Queso Gudbrandsdals,28.80 €,1,0.00%
10308,Cerveza Outback,12.00 €,5,0.00%
10309,Especias Cajun del chef Anton,17.60 €,20,0.00%
10309,Mermelada de grosellas de la abuela,20.00 €,30,0.00%
10309,Tallarines de Singapur,11.20 €,2,0.00%
10309,Café de Malasia,36.80 €,20,0.00%
10309,Crema de queso Fløtemys,17.20 €,3,0.00%
10310,Postre de merengue Pavlova,13.90 €,10,0.00%
10310,Tarta de azúcar,39.40 €,5,0.00%
10311,Tallarines de Singapur,11.20 €,6,0.00%
10311,Queso Gudbrandsdals,28.80 €,7,0.00%
10312,Col fermentada Rössle,36.40 €,4,0.00%
10312,Café de Malasia,36.80 €,24,0.00%
10312,Empanada de carne,26.20 €,20,0.00%
10312,Cerveza Klosterbier Rhönbräu,6.20 €,10,0.00%
10313,Escabeche de arenque,15.20 €,12,0.00%
10314,Queso Mascarpone Fabioli,25.60 €,40,10.00%
10314,Caracoles de Borgoña,10.60 €,30,10.00%
10314,Tarta de azúcar,39.40 €,25,10.00%
10315,Cerveza Sasquatch,11.20 €,14,0.00%
10315,Cerveza Outback,12.00 €,30,0.00%
10316,Crema de almejas estilo Nueva Inglaterra,7.70 €,10,0.00%
10316,Tarta de azúcar,39.40 €,70,0.00%
10317,Té Dharamsala,14.40 €,20,0.00%
10318,Crema de almejas estilo Nueva Inglaterra,7.70 €,20,0.00%
10318,Licor Cloudberry,14.40 €,6,0.00%
10319,Cordero Alice Springs,31.20 €,8,0.00%
10319,Col fermentada Rössle,36.40 €,14,0.00%
10319,Licor Cloudberry,14.40 €,30,0.00%
10320,Crema de queso Fløtemys,17.20 €,30,0.00%
10321,Cerveza negra Steeleye,14.40 €,10,0.00%
10322,Cereales para Filo,5.60 €,20,0.00%
10323,Salsa de soja baja en sodio,12.40 €,5,0.00%
10323,Crema de chocolate y nueces NuNuCa,11.20 €,4,0.00%
10323,Licor verde Chartreuse,14.40 €,4,0.00%
10324,Postre de merengue Pavlova,13.90 €,21,15.00%
10324,Cerveza negra Steeleye,14.40 €,70,15.00%
10324,Arenque salado,9.60 €,30,0.00%
10324,Raclet de queso Courdavault,44.00 €,40,15.00%
10324,Sandwich de vegetales,35.10 €,80,15.00%
10325,Mermelada de grosellas de la abuela,20.00 €,6,0.00%
10325,Algas Konbu,4.80 €,12,0.00%
10325,Cuajada de judías,18.60 €,9,0.00%
10325,Queso gorgonzola Telino,10.00 €,4,0.00%
10325,Queso Mozzarella Giovanni,27.80 €,40,0.00%
10326,Especias Cajun del chef Anton,17.60 €,24,0.00%
10326,Raviolis Angelo,15.60 €,16,0.00%
10326,Cerveza Klosterbier Rhönbräu,6.20 €,50,0.00%
10327,Cerveza tibetana Barley,15.20 €,25,20.00%
10327,Queso Cabrales,16.80 €,50,20.00%
10327,Arenque blanco del noroeste,20.70 €,35,20.00%
10327,Caracoles de Borgoña,10.60 €,30,20.00%
10328,Raclet de queso Courdavault,44.00 €,9,0.00%
10328,Salsa de pimiento picante de Luisiana,16.80 €,40,0.00%
10328,Barras de pan de Escocia,10.00 €,10,0.00%
10329,Pastas de té de chocolate,7.30 €,10,5.00%
10329,Arenque blanco del noroeste,20.70 €,8,5.00%
10329,Vino Côte de Blaye,210.80 €,20,5.00%
10329,Gnocchi de la abuela Alicia,30.40 €,12,5.00%
10330,Ositos de goma Gumbär,24.90 €,50,15.00%
10330,Queso Mozzarella Giovanni,27.80 €,25,15.00%
10331,Empanada de cerdo,5.90 €,15,0.00%
10332,Langostinos tigre Carnarvon,50.00 €,40,20.00%
10332,Tallarines de Singapur,11.20 €,10,20.00%
10332,Galletas Zaanse,7.60 €,16,20.00%
10333,Cuajada de judías,18.60 €,10,0.00%
10333,Bollos de Sir Rodney's,8.00 €,10,10.00%
10333,Crema de queso Fløtemys,17.20 €,40,10.00%
10334,Cereales para Filo,5.60 €,8,0.00%
10334,Barras de pan de Escocia,10.00 €,10,0.00%
10335,Cerveza tibetana Barley,15.20 €,7,20.00%
10335,Queso gorgonzola Telino,10.00 €,25,20.00%
10335,Queso Mascarpone Fabioli,25.60 €,6,20.00%
10335,Manzanas secas Manjimup,42.40 €,48,20.00%
10336,Especias Cajun del chef Anton,17.60 €,18,10.00%
10337,Pan fino,7.20 €,40,0.00%
10337,Ositos de goma Gumbär,24.90 €,24,0.00%
10337,Escabeche de arenque,15.20 €,20,0.00%
10337,Salmón ahumado Gravad,20.80 €,28,0.00%
10337,Queso Mozzarella Giovanni,27.80 €,25,0.00%
10338,Cordero Alice Springs,31.20 €,20,0.00%
10338,Arenque blanco del noroeste,20.70 €,15,0.00%
10339,Especias Cajun del chef Anton,17.60 €,10,0.00%
10339,Cordero Alice Springs,31.20 €,70,5.00%
10339,Tarta de azúcar,39.40 €,28,0.00%
10340,Langostinos tigre Carnarvon,50.00 €,20,5.00%
10340,Crema de almejas estilo Nueva Inglaterra,7.70 €,12,5.00%
10340,Café de Malasia,36.80 €,40,5.00%
10341,Queso de cabra,2.00 €,8,0.00%
10341,Raclet de queso Courdavault,44.00 €,9,15.00%
10342,Cerveza tibetana Barley,15.20 €,24,20.00%
10342,Queso gorgonzola Telino,10.00 €,56,20.00%
10342,Escabeche de arenque,15.20 €,40,20.00%
10342,Paté chino,19.20 €,40,20.00%
10343,Bollos de pan de Wimmer,26.60 €,50,0.00%
10343,Barras de pan de Escocia,10.00 €,4,5.00%
10343,Licor Cloudberry,14.40 €,15,0.00%
10344,Especias Cajun del chef Anton,17.60 €,35,0.00%
10344,Salsa de arándanos Northwoods,32.00 €,70,25.00%
10345,Salsa de arándanos Northwoods,32.00 €,70,0.00%
10345,Pastas de té de chocolate,7.30 €,80,0.00%
10345,Tallarines de Singapur,11.20 €,9,0.00%
10346,Cordero Alice Springs,31.20 €,36,10.00%
10346,Gnocchi de la abuela Alicia,30.40 €,20,0.00%
10347,Crema de chocolate y nueces NuNuCa,11.20 €,10,0.00%
10347,Licor verde Chartreuse,14.40 €,50,15.00%
10347,Carne de cangrejo de Boston,14.70 €,4,0.00%
10347,Cerveza Klosterbier Rhönbräu,6.20 €,6,15.00%
10348,Té Dharamsala,14.40 €,15,15.00%
10348,Pan fino,7.20 €,25,0.00%
10349,Empanada de cerdo,5.90 €,24,0.00%
10350,Chocolate blanco,13.00 €,15,10.00%
10350,Queso Gudbrandsdals,28.80 €,18,10.00%
10351,Vino Côte de Blaye,210.80 €,20,5.00%
10351,Crema de almejas estilo Nueva Inglaterra,7.70 €,13,0.00%
10351,Azúcar negra Malacca,15.50 €,77,5.00%
10351,Salsa de pimiento picante de Luisiana,16.80 €,10,5.00%
10352,Refresco Guaraná Fantástica,3.60 €,10,0.00%
10352,Empanada de cerdo,5.90 €,20,15.00%
10353,Queso Cabrales,16.80 €,12,20.00%
10353,Vino Côte de Blaye,210.80 €,50,20.00%
10354,Té Dharamsala,14.40 €,12,0.00%
10354,Salchicha Thüringer,99.00 €,4,0.00%
10355,Refresco Guaraná Fantástica,3.60 €,25,0.00%
10355,Raviolis Angelo,15.60 €,25,0.00%
10356,Queso gorgonzola Telino,10.00 €,30,0.00%
10356,Paté chino,19.20 €,12,0.00%
10356,Queso Gudbrandsdals,28.80 €,20,0.00%
10357,Pez espada,24.80 €,30,20.00%
10357,Ositos de goma Gumbär,24.90 €,16,0.00%
10357,Camembert Pierrot,27.20 €,8,20.00%
10358,Refresco Guaraná Fantástica,3.60 €,10,5.00%
10358,Cerveza Sasquatch,11.20 €,10,5.00%
10358,Escabeche de arenque,15.20 €,20,5.00%
10359,Postre de merengue Pavlova,13.90 €,56,5.00%
10359,Queso gorgonzola Telino,10.00 €,70,5.00%
10359,Camembert Pierrot,27.20 €,80,5.00%
10360,Col fermentada Rössle,36.40 €,30,0.00%
10360,Salchicha Thüringer,99.00 €,35,0.00%
10360,Vino Côte de Blaye,210.80 €,10,0.00%
10360,Regaliz,16.00 €,35,0.00%
10360,Empanada de cerdo,5.90 €,28,0.00%
10361,Licor verde Chartreuse,14.40 €,54,10.00%
10361,Camembert Pierrot,27.20 €,55,10.00%
10362,Crema de chocolate y nueces NuNuCa,11.20 €,50,0.00%
10362,Manzanas secas Manjimup,42.40 €,20,0.00%
10362,Empanada de cerdo,5.90 €,24,0.00%
10363,Queso gorgonzola Telino,10.00 €,20,0.00%
10363,Cerveza Klosterbier Rhönbräu,6.20 €,12,0.00%
10363,Licor Cloudberry,14.40 €,12,0.00%
10364,Queso Gudbrandsdals,28.80 €,30,0.00%
10364,Crema de queso Fløtemys,17.20 €,5,0.00%
10365,Queso Cabrales,16.80 €,24,0.00%
10366,Salsa de pimiento picante de Luisiana,16.80 €,5,0.00%
10366,Salsa verde original Frankfurter,10.40 €,5,0.00%
10367,Cerveza Sasquatch,11.20 €,36,0.00%
10367,Empanada de cerdo,5.90 €,18,0.00%
10367,Salsa de pimiento picante de Luisiana,16.80 €,15,0.00%
10367,Salsa verde original Frankfurter,10.40 €,7,0.00%
10368,Bollos de Sir Rodney's,8.00 €,5,10.00%
10368,Col fermentada Rössle,36.40 €,13,10.00%
10368,Raviolis Angelo,15.60 €,25,0.00%
10368,Bollos de pan de Wimmer,26.60 €,35,10.00%
10369,Salchicha Thüringer,99.00 €,20,0.00%
10369,Gnocchi de la abuela Alicia,30.40 €,18,25.00%
10370,Té Dharamsala,14.40 €,15,15.00%
10370,Bollos de pan de Wimmer,26.60 €,30,0.00%
10370,Queso de soja Longlife,8.00 €,20,15.00%
10371,Escabeche de arenque,15.20 €,6,20.00%
10372,Mermelada de Sir Rodney's,64.80 €,12,25.00%
10372,Vino Côte de Blaye,210.80 €,40,25.00%
10372,Camembert Pierrot,27.20 €,70,25.00%
10372,Queso Mozzarella Giovanni,27.80 €,42,25.00%
10373,Caracoles de Borgoña,10.60 €,80,20.00%
10373,Crema de queso Fløtemys,17.20 €,50,20.00%
10374,Queso gorgonzola Telino,10.00 €,30,0.00%
10374,Caracoles de Borgoña,10.60 €,15,0.00%
10375,Cuajada de judías,18.60 €,15,0.00%
10375,Empanada de cerdo,5.90 €,10,0.00%
10376,Queso gorgonzola Telino,10.00 €,42,5.00%
10377,Col fermentada Rössle,36.40 €,20,15.00%
10377,Licor verde Chartreuse,14.40 €,20,15.00%
10378,Crema de queso Fløtemys,17.20 €,6,0.00%
10379,Crema de almejas estilo Nueva Inglaterra,7.70 €,8,10.00%
10379,Sandwich de vegetales,35.10 €,16,10.00%
10379,Salsa de pimiento picante de Luisiana,16.80 €,20,10.00%
10380,Arenque blanco del noroeste,20.70 €,18,10.00%
10380,Empanada de carne,26.20 €,20,10.00%
10380,Camembert Pierrot,27.20 €,6,10.00%
10380,Cerveza Outback,12.00 €,30,0.00%
10381,Queso de soja Longlife,8.00 €,14,0.00%
10382,Mezcla Gumbo del chef Anton,17.00 €,32,0.00%
10382,Langostinos tigre Carnarvon,50.00 €,9,0.00%
10382,Salchicha Thüringer,99.00 €,14,0.00%
10382,Queso de cabra,2.00 €,60,0.00%
10382,Queso de soja Longlife,8.00 €,50,0.00%
10383,Algas Konbu,4.80 €,20,0.00%
10383,Chocolate blanco,13.00 €,15,0.00%
10383,Gnocchi de la abuela Alicia,30.40 €,20,0.00%
10384,Mermelada de Sir Rodney's,64.80 €,28,0.00%
10384,Camembert Pierrot,27.20 €,15,0.00%
10385,Peras secas orgánicas del tío Bob,24.00 €,10,20.00%
10385,Camembert Pierrot,27.20 €,20,20.00%
10385,Barras de pan de Escocia,10.00 €,8,20.00%
10386,Refresco Guaraná Fantástica,3.60 €,15,0.00%
10386,Cerveza Sasquatch,11.20 €,10,0.00%
10387,Refresco Guaraná Fantástica,3.60 €,15,0.00%
10387,Col fermentada Rössle,36.40 €,6,0.00%
10387,Raclet de queso Courdavault,44.00 €,12,0.00%
10387,Crema de queso Fløtemys,17.20 €,15,0.00%
10388,Arenque ahumado,7.60 €,15,20.00%
10388,Cereales para Filo,5.60 €,20,20.00%
10388,Empanada de carne,26.20 €,40,0.00%
10389,Pez espada,24.80 €,16,0.00%
10389,Paté chino,19.20 €,15,0.00%
10389,Tarta de azúcar,39.40 €,20,0.00%
10389,Cerveza Outback,12.00 €,30,0.00%
10390,Queso gorgonzola Telino,10.00 €,60,10.00%
10390,Cerveza negra Steeleye,14.40 €,40,10.00%
10390,Arenque salado,9.60 €,45,0.00%
10390,Queso Mozzarella Giovanni,27.80 €,24,10.00%
10391,Algas Konbu,4.80 €,18,0.00%
10392,Queso Gudbrandsdals,28.80 €,50,0.00%
10393,Cerveza tibetana Barley,15.20 €,25,25.00%
10393,Cuajada de judías,18.60 €,42,25.00%
10393,Crema de chocolate y nueces NuNuCa,11.20 €,7,25.00%
10393,Ositos de goma Gumbär,24.90 €,70,25.00%
10393,Queso gorgonzola Telino,10.00 €,32,0.00%
10394,Algas Konbu,4.80 €,10,0.00%
10394,Tarta de azúcar,39.40 €,10,0.00%
10395,Arenque salado,9.60 €,28,10.00%
10395,Empanada de carne,26.20 €,70,10.00%
10395,Queso Gudbrandsdals,28.80 €,8,0.00%
10396,Pan fino,7.20 €,40,0.00%
10396,Crema de queso Fløtemys,17.20 €,60,0.00%
10396,Queso Mozzarella Giovanni,27.80 €,21,0.00%
10397,Bollos de Sir Rodney's,8.00 €,10,15.00%
10397,Manzanas secas Manjimup,42.40 €,18,15.00%
10398,Cerveza negra Steeleye,14.40 €,30,0.00%
10398,Paté chino,19.20 €,120,10.00%
10399,Barras de pan de Escocia,10.00 €,60,0.00%
10399,Crema de queso Fløtemys,17.20 €,30,0.00%
10399,Licor Cloudberry,14.40 €,35,0.00%
10399,Salsa verde original Frankfurter,10.40 €,14,0.00%
10400,Salchicha Thüringer,99.00 €,21,0.00%
10400,Cerveza negra Steeleye,14.40 €,35,0.00%
10400,Regaliz,16.00 €,30,0.00%
10401,Arenque blanco del noroeste,20.70 €,18,0.00%
10401,Gnocchi de la abuela Alicia,30.40 €,70,0.00%
10401,Salsa de pimiento picante de Luisiana,16.80 €,20,0.00%
10401,Crema de queso Fløtemys,17.20 €,60,0.00%
10402,Pan fino,7.20 €,60,0.00%
10402,Sandwich de vegetales,35.10 €,65,0.00%
10403,Postre de merengue Pavlova,13.90 €,21,15.00%
10403,Chocolate holandés,10.20 €,70,15.00%
10404,Ositos de goma Gumbär,24.90 €,30,5.00%
10404,Tallarines de Singapur,11.20 €,40,5.00%
10404,Regaliz,16.00 €,30,5.00%
10405,Sirope de regaliz,8.00 €,50,0.00%
10406,Té Dharamsala,14.40 €,10,0.00%
10406,Bollos de Sir Rodney's,8.00 €,30,10.00%
10406,Col fermentada Rössle,36.40 €,42,10.00%
10406,Escabeche de arenque,15.20 €,5,10.00%
10406,Carne de cangrejo de Boston,14.70 €,2,10.00%
10407,Queso Cabrales,16.80 €,30,0.00%
10407,Queso Gudbrandsdals,28.80 €,15,0.00%
10407,Crema de queso Fløtemys,17.20 €,15,0.00%
10408,Salmón ahumado Gravad,20.80 €,10,0.00%
10408,Empanada de cerdo,5.90 €,6,0.00%
10408,Tarta de azúcar,39.40 €,35,0.00%
10409,Cuajada de judías,18.60 €,12,0.00%
10409,Bollos de Sir Rodney's,8.00 €,12,0.00%
10410,Queso de cabra,2.00 €,49,0.00%
10410,Raclet de queso Courdavault,44.00 €,16,0.00%
10411,Crema de almejas estilo Nueva Inglaterra,7.70 €,25,20.00%
10411,Azúcar negra Malacca,15.50 €,40,20.00%
10411,Raclet de queso Courdavault,44.00 €,9,20.00%
10412,Cuajada de judías,18.60 €,20,10.00%
10413,Té Dharamsala,14.40 €,24,0.00%
10413,Tarta de azúcar,39.40 €,40,0.00%
10413,Licor Cloudberry,14.40 €,14,0.00%
10414,Pastas de té de chocolate,7.30 €,18,5.00%
10414,Queso de cabra,2.00 €,50,0.00%
10415,Cordero Alice Springs,31.20 €,2,0.00%
10415,Queso de cabra,2.00 €,20,0.00%
10416,Pastas de té de chocolate,7.30 €,20,0.00%
10416,Empanada de carne,26.20 €,10,0.00%
10416,Raviolis Angelo,15.60 €,20,0.00%
10417,Vino Côte de Blaye,210.80 €,50,0.00%
10417,Arenque salado,9.60 €,2,25.00%
10417,Barras de pan de Escocia,10.00 €,36,25.00%
10417,Salsa verde original Frankfurter,10.40 €,35,0.00%
10418,Cerveza tibetana Barley,15.20 €,60,0.00%
10418,Galletas Zaanse,7.60 €,55,0.00%
10418,Sirope de arce,22.80 €,16,0.00%
10418,Queso de soja Longlife,8.00 €,15,0.00%
10419,Camembert Pierrot,27.20 €,60,5.00%
10419,Queso Gudbrandsdals,28.80 €,20,5.00%
10420,Buey Mishi Kobe,77.60 €,20,10.00%
10420,Algas Konbu,4.80 €,2,10.00%
10420,Cerveza Outback,12.00 €,8,10.00%
10420,Caviar rojo,12.00 €,20,10.00%
10421,Pastas de té de chocolate,7.30 €,4,15.00%
10421,Ositos de goma Gumbär,24.90 €,30,0.00%
10421,Empanada de carne,26.20 €,15,15.00%
10421,Salsa verde original Frankfurter,10.40 €,10,15.00%
10422,Ositos de goma Gumbär,24.90 €,2,0.00%
10423,Queso gorgonzola Telino,10.00 €,14,0.00%
10423,Raclet de queso Courdavault,44.00 €,20,0.00%
10424,Cerveza negra Steeleye,14.40 €,60,20.00%
10424,Vino Côte de Blaye,210.80 €,49,20.00%
10424,Barras de pan de Escocia,10.00 €,30,20.00%
10425,Paté chino,19.20 €,10,25.00%
10425,Licor Cloudberry,14.40 €,20,25.00%
10426,Gnocchi de la abuela Alicia,30.40 €,5,0.00%
10426,Bollos de pan de Wimmer,26.60 €,7,0.00%
10427,Cuajada de judías,18.60 €,35,0.00%
10428,Arenque salado,9.60 €,20,0.00%
10429,Chocolate blanco,13.00 €,40,0.00%
10429,Sandwich de vegetales,35.10 €,35,25.00%
10430,Cordero Alice Springs,31.20 €,45,20.00%
10430,Bollos de Sir Rodney's,8.00 €,50,0.00%
10430,Gnocchi de la abuela Alicia,30.40 €,30,0.00%
10430,Raclet de queso Courdavault,44.00 €,70,20.00%
10431,Cordero Alice Springs,31.20 €,50,25.00%
10431,Carne de cangrejo de Boston,14.70 €,50,25.00%
10431,Galletas Zaanse,7.60 €,30,25.00%
10432,Ositos de goma Gumbär,24.90 €,10,0.00%
10432,Empanada de cerdo,5.90 €,40,0.00%
10433,Gnocchi de la abuela Alicia,30.40 €,28,0.00%
10434,Queso Cabrales,16.80 €,6,0.00%
10434,Licor Cloudberry,14.40 €,18,15.00%
10435,Cerveza tibetana Barley,15.20 €,10,0.00%
10435,Pan de centeno crujiente estilo Gustaf's,16.80 €,12,0.00%
10435,Queso Mozzarella Giovanni,27.80 €,10,0.00%
10436,Arenque salado,9.60 €,5,0.00%
