Id. de pedido,Cliente,Empleado,Fecha de pedido,Fecha de entrega,Fecha de envío,Forma de envío,Cargo,Nombre de destinatario,Dirección de destinatario,Ciudad de destinatario,Región de destinatario,Código postal de destinatario,País de destinatario
10276,Tortuga Restaurante,"Callahan, Laura",08-08-1996,22-08-1996,14-08-1996,Federal Shipping,13.84 €,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,México
10277,Morgenstern Gesundkost,"Fuller, Andrew",09-08-1996,06-09-1996,13-08-1996,Federal Shipping,125.77 €,Morgenstern Gesundkost,Heerstr. 22,Leipzig,,04179,Alemania
10278,Berglunds snabbköp,"Callahan, Laura",12-08-1996,09-09-1996,16-08-1996,United Package,92.69 €,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Suecia
10279,Lehmanns Marktstand,"Callahan, Laura",13-08-1996,10-09-1996,16-08-1996,United Package,25.83 €,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Alemania
10280,Berglunds snabbköp,"Fuller, Andrew",14-08-1996,11-09-1996,12-09-1996,Speedy Express,8.98 €,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Suecia
10281,Romero y tomillo,"Peacock, Margaret",14-08-1996,28-08-1996,21-08-1996,Speedy Express,2.94 €,Romero y tomillo,"Gran Vía, 1",Madrid,,28001,España
10282,Romero y tomillo,"Peacock, Margaret",15-08-1996,12-09-1996,21-08-1996,Speedy Express,12.69 €,Romero y tomillo,"Gran Vía, 1",Madrid,,28001,España
10283,LILA-Supermercado,"Leverling, Janet",16-08-1996,13-09-1996,23-08-1996,Federal Shipping,84.81 €,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10284,Lehmanns Marktstand,"Peacock, Margaret",19-08-1996,16-09-1996,27-08-1996,Speedy Express,76.56 €,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Alemania
10285,QUICK-Stop,"Davolio, Nancy",20-08-1996,17-09-1996,26-08-1996,United Package,76.83 €,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Alemania
10286,QUICK-Stop,"Callahan, Laura",21-08-1996,18-09-1996,30-08-1996,Federal Shipping,229.24 €,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Alemania
10287,Ricardo Adocicados,"Callahan, Laura",22-08-1996,19-09-1996,28-08-1996,Federal Shipping,12.76 €,Ricardo Adocicados,"Av. Copacabana, 267",Río de Janeiro,RJ,02389-890,Brasil
10288,Reggiani Caseifici,"Peacock, Margaret",23-08-1996,20-09-1996,03-09-1996,Speedy Express,7.45 €,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,,42100,Italia
10289,B's Beverages,"King, Robert",26-08-1996,23-09-1996,28-08-1996,Federal Shipping,22.77 €,B's Beverages,Fauntleroy Circus,London,,EC2 5NT,Reino Unido
10290,Comércio Mineiro,"Callahan, Laura",27-08-1996,24-09-1996,03-09-1996,Speedy Express,79.70 €,Comércio Mineiro,"Av. dos Lusíadas, 23",São Paulo,SP,05432-043,Brasil
10291,Que Delícia,"Suyama, Michael",27-08-1996,24-09-1996,04-09-1996,United Package,6.40 €,Que Delícia,"Rua da Panificadora, 12",Río de Janeiro,RJ,02389-673,Brasil
10292,Tradição Hipermercados,"Davolio, Nancy",28-08-1996,25-09-1996,02-09-1996,United Package,1.35 €,Tradição Hipermercados,"Av. Inês de Castro, 414",São Paulo,SP,05634-030,Brasil
10293,Tortuga Restaurante,"Davolio, Nancy",29-08-1996,26-09-1996,11-09-1996,Federal Shipping,21.18 €,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,México
10294,Rattlesnake Canyon Grocery,"Peacock, Margaret",30-08-1996,27-09-1996,05-09-1996,United Package,147.26 €,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,Estados Unidos
10295,Vins et alcools Chevalier,"Fuller, Andrew",02-09-1996,30-09-1996,10-09-1996,United Package,1.15 €,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,Francia
10296,LILA-Supermercado,"Suyama, Michael",03-09-1996,01-10-1996,11-09-1996,Speedy Express,0.12 €,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10297,Blondel père et fils,"Buchanan, Steven",04-09-1996,16-10-1996,10-09-1996,United Package,5.74 €,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,Francia
10298,Hungry Owl All-Night Grocers,"Suyama, Michael",05-09-1996,03-10-1996,11-09-1996,United Package,168.22 €,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Irlanda
10299,Ricardo Adocicados,"Peacock, Margaret",06-09-1996,04-10-1996,13-09-1996,United Package,29.76 €,Ricardo Adocicados,"Av. Copacabana, 267",Río de Janeiro,RJ,02389-890,Brasil
10300,Magazzini Alimentari Riuniti,"Fuller, Andrew",09-09-1996,07-10-1996,18-09-1996,United Package,17.68 €,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bérgamo,,24100,Italia
10301,Die Wandernde Kuh,"Callahan, Laura",09-09-1996,07-10-1996,17-09-1996,United Package,45.08 €,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Alemania
10302,Suprêmes délices,"Peacock, Margaret",10-09-1996,08-10-1996,09-10-1996,United Package,6.27 €,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Bélgica
10303,Godos Cocina Típica,"King, Robert",11-09-1996,09-10-1996,18-09-1996,United Package,107.83 €,Godos Cocina Típica,"C/ Romero, 33",Sevilla,,41101,España
10304,Tortuga Restaurante,"Davolio, Nancy",12-09-1996,10-10-1996,17-09-1996,United Package,63.79 €,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,México
10305,Old World Delicatessen,"Callahan, Laura",13-09-1996,11-10-1996,09-10-1996,Federal Shipping,257.62 €,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,Estados Unidos
10306,Romero y tomillo,"Davolio, Nancy",16-09-1996,14-10-1996,23-09-1996,Federal Shipping,7.56 €,Romero y tomillo,"Gran Vía, 1",Madrid,,28001,España
10307,Lonesome Pine Restaurant,"Fuller, Andrew",17-09-1996,15-10-1996,25-09-1996,United Package,0.56 €,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,Estados Unidos
10308,Ana Trujillo Emparedados y helados,"King, Robert",18-09-1996,16-10-1996,24-09-1996,Federal Shipping,1.61 €,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,,05021,México
10309,Hungry Owl All-Night Grocers,"Leverling, Janet",19-09-1996,17-10-1996,23-10-1996,Speedy Express,47.30 €,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Irlanda
10310,The Big Cheese,"Callahan, Laura",20-09-1996,18-10-1996,27-09-1996,United Package,17.52 €,The Big Cheese,"89 Jefferson Way
Suite 2",Portland,OR,97201,Estados Unidos
10311,Du monde entier,"Davolio, Nancy",20-09-1996,04-10-1996,26-09-1996,Federal Shipping,24.69 €,Du monde entier,"67, rue des Cinquante Otages",Nantes,,44000,Francia
10312,Die Wandernde Kuh,"Fuller, Andrew",23-09-1996,21-10-1996,03-10-1996,United Package,40.26 €,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Alemania
10313,QUICK-Stop,"Fuller, Andrew",24-09-1996,22-10-1996,04-10-1996,United Package,1.96 €,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Alemania
10314,Rattlesnake Canyon Grocery,"Davolio, Nancy",25-09-1996,23-10-1996,04-10-1996,United Package,74.16 €,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,Estados Unidos
10315,Island Trading,"Peacock, Margaret",26-09-1996,24-10-1996,03-10-1996,United Package,41.76 €,Island Trading,"Garden House
Crowther Way",Cowes,Isle of Wight,PO31 7PJ,Reino Unido
10316,Rattlesnake Canyon Grocery,"Davolio, Nancy",27-09-1996,25-10-1996,08-10-1996,Federal Shipping,150.15 €,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,Estados Unidos
10317,Lonesome Pine Restaurant,"Suyama, Michael",30-09-1996,28-10-1996,10-10-1996,Speedy Express,12.69 €,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,Estados Unidos
10318,Island Trading,"Callahan, Laura",01-10-1996,29-10-1996,04-10-1996,United Package,4.73 €,Island Trading,"Garden House
Crowther Way",Cowes,Isle of Wight,PO31 7PJ,Reino Unido
10319,Tortuga Restaurante,"King, Robert",02-10-1996,30-10-1996,11-10-1996,Federal Shipping,64.50 €,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,México
10320,Wartian Herkku,"Buchanan, Steven",03-10-1996,17-10-1996,18-10-1996,Federal Shipping,34.57 €,Wartian Herkku,Torikatu 38,Oulu,,90110,Finlandia
10321,Island Trading,"Leverling, Janet",03-10-1996,31-10-1996,11-10-1996,United Package,3.43 €,Island Trading,"Garden House
Crowther Way",Cowes,Isle of Wight,PO31 7PJ,Reino Unido
10322,Pericles Comidas clásicas,"King, Robert",04-10-1996,01-11-1996,23-10-1996,Federal Shipping,0.40 €,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,,05033,México
10323,Königlich Essen,"Peacock, Margaret",07-10-1996,04-11-1996,14-10-1996,Speedy Express,4.88 €,Königlich Essen,Maubelstr. 90,Brandenburg,,14776,Alemania
10324,Save-a-lot Markets,"Dodsworth, Anne",08-10-1996,05-11-1996,10-10-1996,Speedy Express,214.27 €,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,Estados Unidos
10325,Königlich Essen,"Davolio, Nancy",09-10-1996,23-10-1996,14-10-1996,Federal Shipping,64.86 €,Königlich Essen,Maubelstr. 90,Brandenburg,,14776,Alemania
10326,Bólido Comidas preparadas,"Peacock, Margaret",10-10-1996,07-11-1996,14-10-1996,United Package,77.92 €,Bólido Comidas preparadas,"C/ Araquil, 67",Madrid,,28023,España
10327,Folk och fä HB,"Fuller, Andrew",11-10-1996,08-11-1996,14-10-1996,Speedy Express,63.36 €,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Suecia
10328,Furia Bacalhau e Frutos do Mar,"Peacock, Margaret",14-10-1996,11-11-1996,17-10-1996,Federal Shipping,87.03 €,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,,1675,Portugal
10329,Split Rail Beer & Ale,"Peacock, Margaret",15-10-1996,26-11-1996,23-10-1996,United Package,191.67 €,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,Estados Unidos
10330,LILA-Supermercado,"Leverling, Janet",16-10-1996,13-11-1996,28-10-1996,Speedy Express,12.75 €,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10331,Bon app',"Dodsworth, Anne",16-10-1996,27-11-1996,21-10-1996,Speedy Express,10.19 €,Bon app',"12, rue des Bouchers",Marseille,,13008,Francia
10332,Mère Paillarde,"Leverling, Janet",17-10-1996,28-11-1996,21-10-1996,United Package,52.84 €,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canadá
10333,Wartian Herkku,"Buchanan, Steven",18-10-1996,15-11-1996,25-10-1996,Federal Shipping,0.59 €,Wartian Herkku,Torikatu 38,Oulu,,90110,Finlandia
10334,Victuailles en stock,"Callahan, Laura",21-10-1996,18-11-1996,28-10-1996,United Package,8.56 €,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,Francia
10335,Hungry Owl All-Night Grocers,"King, Robert",22-10-1996,19-11-1996,24-10-1996,United Package,42.11 €,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Irlanda
10336,Princesa Isabel Vinhos,"King, Robert",23-10-1996,20-11-1996,25-10-1996,United Package,15.51 €,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,,1756,Portugal
10337,Frankenversand,"Peacock, Margaret",24-10-1996,21-11-1996,29-10-1996,Federal Shipping,108.26 €,Frankenversand,Berliner Platz 43,München,,80805,Alemania
10338,Old World Delicatessen,"Peacock, Margaret",25-10-1996,22-11-1996,29-10-1996,Federal Shipping,84.21 €,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,Estados Unidos
10339,Mère Paillarde,"Fuller, Andrew",28-10-1996,25-11-1996,04-11-1996,United Package,15.66 €,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canadá
10340,Bon app',"Davolio, Nancy",29-10-1996,26-11-1996,08-11-1996,Federal Shipping,166.31 €,Bon app',"12, rue des Bouchers",Marseille,,13008,Francia
10341,Simons bistro,"King, Robert",29-10-1996,26-11-1996,05-11-1996,Federal Shipping,26.78 €,Simons bistro,Vinbæltet 34,København,,1734,Dinamarca
10342,Frankenversand,"Peacock, Margaret",30-10-1996,13-11-1996,04-11-1996,United Package,54.83 €,Frankenversand,Berliner Platz 43,München,,80805,Alemania
10343,Lehmanns Marktstand,"Peacock, Margaret",31-10-1996,28-11-1996,06-11-1996,Speedy Express,110.37 €,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Alemania
10344,White Clover Markets,"Peacock, Margaret",01-11-1996,29-11-1996,05-11-1996,United Package,23.29 €,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,Estados Unidos
10345,QUICK-Stop,"Fuller, Andrew",04-11-1996,02-12-1996,11-11-1996,United Package,249.06 €,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Alemania
10346,Rattlesnake Canyon Grocery,"Leverling, Janet",05-11-1996,17-12-1996,08-11-1996,Federal Shipping,142.08 €,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,Estados Unidos
10347,Familia Arquibaldo,"Peacock, Margaret",06-11-1996,04-12-1996,08-11-1996,Federal Shipping,3.10 €,Familia Arquibaldo,"Rua Orós, 92",São Paulo,SP,05442-030,Brasil
10348,Die Wandernde Kuh,"Peacock, Margaret",07-11-1996,05-12-1996,15-11-1996,United Package,0.78 €,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Alemania
10349,Split Rail Beer & Ale,"King, Robert",08-11-1996,06-12-1996,15-11-1996,Speedy Express,8.63 €,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,Estados Unidos
10350,La maison d'Asie,"Suyama, Michael",11-11-1996,09-12-1996,03-12-1996,United Package,64.19 €,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,,31000,Francia
10351,Ernst Handel,"Davolio, Nancy",11-11-1996,09-12-1996,20-11-1996,Speedy Express,162.33 €,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10352,Furia Bacalhau e Frutos do Mar,"Leverling, Janet",12-11-1996,26-11-1996,18-11-1996,Federal Shipping,1.30 €,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,,1675,Portugal
10353,Piccolo und mehr,"King, Robert",13-11-1996,11-12-1996,25-11-1996,Federal Shipping,360.63 €,Piccolo und mehr,Geislweg 14,Salzburg,,5020,Austria
10354,Pericles Comidas clásicas,"Callahan, Laura",14-11-1996,12-12-1996,20-11-1996,Federal Shipping,53.80 €,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,,05033,México
10355,Around the Horn,"Suyama, Michael",15-11-1996,13-12-1996,20-11-1996,Speedy Express,41.95 €,Around the Horn,"Brook Farm
Stratford St. Mary",Colchester,Essex,CO7 6JX,Reino Unido
10356,Die Wandernde Kuh,"Suyama, Michael",18-11-1996,16-12-1996,27-11-1996,United Package,36.71 €,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Alemania
10357,LILA-Supermercado,"Davolio, Nancy",19-11-1996,17-12-1996,02-12-1996,Federal Shipping,34.88 €,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10358,La maison d'Asie,"Buchanan, Steven",20-11-1996,18-12-1996,27-11-1996,Speedy Express,19.64 €,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,,31000,Francia
10359,Seven Seas Imports,"Buchanan, Steven",21-11-1996,19-12-1996,26-11-1996,Federal Shipping,288.43 €,Seven Seas Imports,90 Wadhurst Rd.,London,,OX15 4NB,Reino Unido
10360,Blondel père et fils,"Peacock, Margaret",22-11-1996,20-12-1996,02-12-1996,Federal Shipping,131.70 €,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,Francia
10361,QUICK-Stop,"Davolio, Nancy",22-11-1996,20-12-1996,03-12-1996,United Package,183.17 €,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Alemania
10362,Bon app',"Leverling, Janet",25-11-1996,23-12-1996,28-11-1996,Speedy Express,96.04 €,Bon app',"12, rue des Bouchers",Marseille,,13008,Francia
10363,Drachenblut Delikatessen,"Peacock, Margaret",26-11-1996,24-12-1996,04-12-1996,Federal Shipping,30.54 €,Drachenblut Delikatessen,Walserweg 21,Aachen,,52066,Alemania
10364,Eastern Connection,"Davolio, Nancy",26-11-1996,07-01-1997,04-12-1996,Speedy Express,71.97 €,Eastern Connection,35 King George,London,,WX3 6FW,Reino Unido
10365,Antonio Moreno Taquería,"Leverling, Janet",27-11-1996,25-12-1996,02-12-1996,United Package,22.00 €,Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,México
10366,Galería del gastrónomo,"Callahan, Laura",28-11-1996,09-01-1997,30-12-1996,United Package,10.14 €,Galería del gastronómo,"Rambla de Cataluña, 23",Barcelona,,8022,España
10367,Vaffeljernet,"King, Robert",28-11-1996,26-12-1996,02-12-1996,Federal Shipping,13.55 €,Vaffeljernet,Smagsløget 45,Århus,,8200,Dinamarca
10368,Ernst Handel,"Fuller, Andrew",29-11-1996,27-12-1996,02-12-1996,United Package,101.95 €,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10369,Split Rail Beer & Ale,"Callahan, Laura",02-12-1996,30-12-1996,09-12-1996,United Package,195.68 €,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,Estados Unidos
10370,Chop-suey Chinese,"Suyama, Michael",03-12-1996,31-12-1996,27-12-1996,United Package,1.17 €,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Suiza
10371,La maison d'Asie,"Davolio, Nancy",03-12-1996,31-12-1996,24-12-1996,Speedy Express,0.45 €,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,,31000,Francia
10372,Queen Cozinha,"Buchanan, Steven",04-12-1996,01-01-1997,09-12-1996,United Package,890.78 €,Queen Cozinha,"Alameda dos Canàrios, 891",São Paulo,SP,05487-020,Brasil
10373,Hungry Owl All-Night Grocers,"Peacock, Margaret",05-12-1996,02-01-1997,11-12-1996,Federal Shipping,124.12 €,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Irlanda
10374,Wolski  Zajazd,"Davolio, Nancy",05-12-1996,02-01-1997,09-12-1996,Federal Shipping,3.94 €,Wolski Zajazd,ul. Filtrowa 68,Warszawa,,01-012,Polonia
10375,Hungry Coyote Import Store,"Leverling, Janet",06-12-1996,03-01-1997,09-12-1996,United Package,20.12 €,Hungry Coyote Import Store,"City Center Plaza
516 Main St.",Elgin,OR,97827,Estados Unidos
10376,Mère Paillarde,"Davolio, Nancy",09-12-1996,06-01-1997,13-12-1996,United Package,20.39 €,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canadá
10377,Seven Seas Imports,"Davolio, Nancy",09-12-1996,06-01-1997,13-12-1996,Federal Shipping,22.21 €,Seven Seas Imports,90 Wadhurst Rd.,London,,OX15 4NB,Reino Unido
10378,Folk och fä HB,"Buchanan, Steven",10-12-1996,07-01-1997,19-12-1996,Federal Shipping,5.44 €,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Suecia
10379,Que Delícia,"Fuller, Andrew",11-12-1996,08-01-1997,13-12-1996,Speedy Express,45.03 €,Que Delícia,"Rua da Panificadora, 12",Río de Janeiro,RJ,02389-673,Brasil
10380,Hungry Owl All-Night Grocers,"Callahan, Laura",12-12-1996,09-01-1997,16-01-1997,Federal Shipping,35.03 €,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Irlanda
10381,LILA-Supermercado,"Leverling, Janet",12-12-1996,09-01-1997,13-12-1996,Federal Shipping,7.99 €,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10382,Ernst Handel,"Peacock, Margaret",13-12-1996,10-01-1997,16-12-1996,Speedy Express,94.77 €,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10383,Around the Horn,"Callahan, Laura",16-12-1996,13-01-1997,18-12-1996,Federal Shipping,34.24 €,Around the Horn,"Brook Farm
Stratford St. Mary",Colchester,Essex,CO7 6JX,Reino Unido
10384,Berglunds snabbköp,"Leverling, Janet",16-12-1996,13-01-1997,20-12-1996,Federal Shipping,168.64 €,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Suecia
10385,Split Rail Beer & Ale,"Davolio, Nancy",17-12-1996,14-01-1997,23-12-1996,United Package,30.96 €,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,Estados Unidos
10386,Familia Arquibaldo,"Dodsworth, Anne",18-12-1996,01-01-1997,25-12-1996,Federal Shipping,13.99 €,Familia Arquibaldo,"Rua Orós, 92",São Paulo,SP,05442-030,Brasil
10387,Santé Gourmet,"Davolio, Nancy",18-12-1996,15-01-1997,20-12-1996,United Package,93.63 €,Santé Gourmet,Erling Skakkes gate 78,Stavern,,4110,Noruega
10388,Seven Seas Imports,"Fuller, Andrew",19-12-1996,16-01-1997,20-12-1996,Speedy Express,34.86 €,Seven Seas Imports,90 Wadhurst Rd.,London,,OX15 4NB,Reino Unido
10389,Bottom-Dollar Markets,"Peacock, Margaret",20-12-1996,17-01-1997,24-12-1996,United Package,47.42 €,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canadá
